material,thickness (cm),count
none,0,787
none,0,771
none,0,737
none,0,764
lead,0.61725,439
lead,0.61725,387
lead,0.61725,436
lead,1.2615,191
lead,1.2615,182
lead,1.2615,172
lead,3.2615,81
lead,3.2615,32
lead,3.2615,9
aluminum,0.68425,575
aluminum,0.68425,526
aluminum,0.68425,507
aluminum,0.68425,493
aluminum,1.96675,385
aluminum,1.96675,396
aluminum,1.96675,320
aluminum,1.96675,278
aluminum,4.59675,156
aluminum,4.59675,136
aluminum,4.59675,125
aluminum,4.59675,156
aluminum,9.22525,80
aluminum,9.22525,66
aluminum,9.22525,74
aluminum,9.22525,62
