detector,element,ROI_Start,ROI_End,Gross,Net,Centroid,FWHM
ge,bg,32,35,4093,104,33,--
ge,bg,39,43,21079,12163,40,--
ge,bg,151,154,4259,1189,152,--
ge,bg,165,170,9392,6865,167,2
ge,bg,193,199,23971,-3679,198,--
ge,bg,210,219,3391,3110,214,3
ge,bg,242,248,189,55,244,3
ge,bg,285,291,155,73,288,4
ge,bg,345,351,154,13,346,--
ge,bg,514,520,99,49,516,3
ge,bg,822,833,193,138,829,4
ge,cd109,45,51,390,161,47,3
ge,cd109,206,212,60,23,208,3
ge,cd109,395,403,50,32,398,3
ge,cd109,882,890,29,-13,882,--
ge,cs137,20,32,3175,821,26,8
ge,cs137,35,41,2043,153,38,--
ge,cs137,42,48,1903,134,45,--
ge,cs137,274,285,2917,234,279,--
ge,cs137,391,403,13418,13265,398,3
ge,cs137,881,886,39,9,882,--
ge,na22,20,30,4049,603,24,--
ge,na22,194,201,1952,112,197,3
ge,na22,299,308,11655,10324,305,3
ge,na22,394,400,278,75,397,--
ge,na22,618,636,941,132,627,6
ge,na22,765,774,2265,2209,768,4
ge,na22,880,884,64,34,882,2
na,ba133,13,26,53128,44538,21,4
na,ba133,30,35,8803,730,32,--
na,ba133,47,61,65275,38754,52,7
na,ba133,65,83,12568,4330,74,9
na,ba133,160,203,24061,9651,184,19
na,ba133,205,261,53501,36172,227,22
na,ba133,264,315,3335,266,280,14
na,cd109,36,71,1122,815,54,8
na,co60,41,62,3174,786,50,7
na,co60,678,759,8574,6154,713,35
na,co60,762,859,6822,6282,808,40
na,cs137,18,30,10062,7447,22,4
na,cs137,41,57,5780,1078,48,8
na,cs137,375,454,34939,33578,410,30
na,na22,20,36,3214,891,28,10
na,na22,38,59,5265,1237,48,8
na,na22,285,350,24434,22055,317,26
na,na22,723,817,3978,3551,773,38
na,unknown,19,28,4616,1815,22,--
na,unknown,42,62,3436,663,51,6
na,unknown,370,452,16865,16324,410,28
